nominal_frequency_hz,deviation,actual_frequency_hz,clock_max_abs_error,clock_rms_error
10,-0.1,9,0.00422841385688664,0.00231068055378121
10,0,10,1.04083408558608e-17,5.08807767321784e-18
10,0.1,11,0.00387438261046338,0.00205679498849357
100,-0.1,90,0.00423900569507471,0.00232903118181738
100,0,100,1.73472347597681e-17,7.42043855042686e-18
100,0.1,110,0.00387438261046343,0.00206997189539725
1000,-0.1,900,0.00423923881213648,0.00233082179723395
1000,0,1000,6.74807432154978e-16,3.88814619150585e-16
1000,0.1,1100,0.00387507836358358,0.00207128243044012
